DI_Code	DI_Term	SCT_ID	SCT_Description	Primary_Code1	Primary_Term1	Primary_Code2	Primary_Term2	Primary_Code3	Primary_Term3	Primary_Code4	Primary_Term4	Y_Code1	Y_Term1	Y_Code2	Y_Term2	Y_Code3	Y_Term3	Z_code1	Z_Term1	Z_code2	Z_Term2	Z_code3	Z_Term3	Z_code4	Z_Term4	Z_code5	Z_Term5	O_Code	O_Term	Annotation
IVVALI	Pc Placement artificial venous valves	431801006	Percutaneous insertion of artificial venous valve using fluoroscopic guidance (procedure)	L82.8	Other specified repair of valve of vein							Y02.2	Insertion of prosthesis into organ NOC	Y53.4	Approach to organ under fluoroscopic control															
IVVTCP	Vertebroplasty cervical	431328005	Percutaneous cervical vertebroplasty using fluoroscopic guidance (procedure)	V44.4	Vertebroplasty of fracture of spine	V55.9	Unspecified levels of spine					Y53.4	Approach to organ under fluoroscopic control					Z66.3	Cervical vertebra											
IVVTLP	Vertebroplasty lumbar	431555002	Percutaneous lumbar vertebroplasty using fluoroscopic guidance (procedure)	V44.4	Vertebroplasty of fracture of spine	V55.9	Unspecified levels of spine					Y53.4	Approach to organ under fluoroscopic control					Z66.5	Lumbar vertebra											
IVVTSP	Vertebroplasty sacral	431206007	Percutaneous sacral vertebroplasty using fluoroscopic guidance (procedure)	V44.4	Vertebroplasty of fracture of spine	V55.9	Unspecified levels of spine					Y53.4	Approach to organ under fluoroscopic control					Z66.8	Specified vertebra NEC											
IVVTTP	Vertebroplasty thoracic	433220005	Percutaneous thoracic vertebroplasty using fluoroscopic guidance (procedure)	V44.4	Vertebroplasty of fracture of spine	V55.9	Unspecified levels of spine					Y53.4	Approach to organ under fluoroscopic control					Z66.4	Thoracic vertebra											
IWLLE	Fluoro guided guidewire Loc lesion	915371000000109	Wire guided localisation of lesion using fluoroscopic guidance (procedure)									Y37.3	Insertion of wire marker into organ NOC	Y53.4	Approach to organ under fluoroscopic control															
IWRIBJ	Fluoroscopic guided injection wrist Both	432879005	Injection of wrist using fluoroscopic guidance (procedure)	W90.4	Injection into joint NEC							Y53.4	Approach to organ under fluoroscopic control					Z82.9	Joint of wrist or hand NEC											
IWRILJ	Fluoroscopic guided injection wrist Lt	432879005	Injection of wrist using fluoroscopic guidance (procedure)	W90.4	Injection into joint NEC							Y53.4	Approach to organ under fluoroscopic control					Z82.9	Joint of wrist or hand NEC											
IWRIRJ	Fluoroscopic guided injection wrist Rt	432879005	Injection of wrist using fluoroscopic guidance (procedure)	W90.4	Injection into joint NEC							Y53.4	Approach to organ under fluoroscopic control					Z82.9	Joint of wrist or hand NEC											
K3DMB	CT Cone beam 3D mandible Both	718008007	Three dimensional cone beam computed tomography of mandible (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z65.1	Mandible											
K3DML	CT Cone beam 3D mandible Left	718008007	Three dimensional cone beam computed tomography of mandible (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z65.1	Mandible											
K3DMR	CT Cone beam 3D mandible Right	718008007	Three dimensional cone beam computed tomography of mandible (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z65.1	Mandible											
KABDO	Cone beam CT abdomen	718013006	Cone beam computed tomography of abdomen (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.6	Abdomen NEC											
KABDOB	Cone beam CT guided biopsy abdomen	717995000	Biopsy of abdomen using cone beam computed tomography guidance (procedure)	T43.2	Diagnostic endoscopic examination of peritoneum and biopsy of lesion of intra-abdominal organ NEC							Y53.8	Other specified approach to organ under image control																	
KABDOI	Cone beam CT guided insertion drain Abdo	717691006	Insertion of drain into abdomen using cone beam computed tomography guidance (procedure)	T45.8	Other specified image controlled operations on abdominal cavity							Y22.9	Unspecified drainage of organ NOC	Y53.8	Other specified approach to organ under image control															
KABDON	Cone beam CT guided aspiration abdomen	717344005	Aspiration of abdomen using cone beam computed tomography guidance (procedure)	T45.8	Other specified image controlled operations on abdominal cavity							Y22.9	Unspecified drainage of organ NOC	Y53.8	Other specified approach to organ under image control															
KANKB	CT Cone beam ankle Both	1089251000000104	Cone beam computed tomography of bilateral ankles (procedure)	U36.5	Cone beam computed tomography NEC							Y98.2	Radiology of two body areas					Z85.6	Ankle joint	Z94.1	Bilateral operation									
KANKL	CT Cone beam ankle Left	1089231000000106	Cone beam computed tomography of left ankle (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z85.6	Ankle joint	Z94.3	Left sided operation									
KANKR	CT Cone beam ankle Right	1089241000000102	Cone beam computed tomography of right ankle (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z85.6	Ankle joint	Z94.2	Right sided operation									
KCBFA	CT Cone beam facial bone	718286004	Cone beam computed tomography of bone structure of face (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z64.9	Bone of face NEC											
KCBMB	CT Cone beam mastoid Both	718009004	Cone beam computed tomography of mastoid (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z20.3	Mastoid											
KCBMD	CT Cone beam mandible	718007002	Cone beam computed tomography of mandible (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z65.1	Mandible											
KCBNS	CT Cone beam nasal sinus	718010009	Cone beam computed tomography of nasal sinus (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z23.9	Nasal sinus NEC											
KCHES	Cone beam CT thorax	718014000	Cone beam computed tomography of chest (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.4	Chest NEC											
KCIAB	CT Cone beam internal auditory meatus B	718006006	Cone beam computed tomography of internal auditory meatus (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.8	Specified part of ear NEC											
KCIAL	CT Cone beam internal auditory meatus Lt	718006006	Cone beam computed tomography of internal auditory meatus (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.8	Specified part of ear NEC											
KCIAR	CT Cone beam internal auditory meatus Rt	718006006	Cone beam computed tomography of internal auditory meatus (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.8	Specified part of ear NEC											
KCMAL	CT Cone beam mastoid Left	718009004	Cone beam computed tomography of mastoid (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z20.3	Mastoid											
KCMAR	CT Cone beam mastoid Right	718009004	Cone beam computed tomography of mastoid (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z20.3	Mastoid											
KCOBE	CT Cone beam	717193008	Cone beam computed tomography (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)																	
KCOMX	CT Cone beam maxilla	718005005	Cone beam computed tomography of maxilla (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z64.4	Maxilla											
KCRLEA	CT Cone beam cryoablation lesion	725465000	Cryoablation of lesion using cone beam computed tomography guidance (procedure)	#HLT																										
KDENT	Cone beam CT dental	905911000000100	Cone beam computed tomography of teeth (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z25.3	Tooth NEC											
KDRAII	Cone beam CT guided insertion drain	717687001	Insertion of drain using cone beam computed tomography guidance (procedure)	#HLT																										
KGUIDB	Cone beam CT guided biopsy	717991009	Biopsy using cone beam computed tomography guidance (procedure)	#HLT																										
KGUIDN	Cone beam CT guided aspiration	717340001	Aspiration using cone beam computed tomography guidance (procedure)	#HLT																										
KHEAD	Cone beam CT head	718004009	Cone beam computed tomography of head (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.1	Head NEC											
KHEADB	Cone beam CT guided biopsy head	717993007	Biopsy of head using cone beam computed tomography guidance (procedure)	#HLT																										
KHEADI	Cone beam CT guided insertion drain head	717689003	Insertion of drain into head using cone beam computed tomography guidance (procedure)	#HLT																										
KHEADN	Cone beam CT guided aspiration head	717347003	Aspiration of head using cone beam computed tomography guidance (procedure)	#HLT																										
KLASEA	Cone beam CT guided laser ablation	725836001	Laser ablation using cone beam computed tomography guidance (procedure)	#HLT																										
KLEXBN	Cone beam CT Guid Asp lower extremity B	717348008	Aspiration of lower limb using cone beam computed tomography guidance (procedure)	#HLT																										
KLEXLN	Cone beam CT Guid Asp lower extremity Lt	717348008	Aspiration of lower limb using cone beam computed tomography guidance (procedure)	#HLT																										
KLLES	Cone beam CT Guid Loc lesion using dye	1093241000000103	Cone beam computed tomography guided localisation of lesion using dye (procedure)	#HLT																										
KLLIBI	Cone beam CT Guid insertion drain LL B	717694003	Insertion of drain into lower limb using cone beam computed tomography guidance (procedure)	#HLT																										
KLLILI	Cone beam CT Guid insertion drain LL Lt	717694003	Insertion of drain into lower limb using cone beam computed tomography guidance (procedure)	#HLT																										
KLLIRI	Cone beam CT Guid insertion drain LL Rt	717694003	Insertion of drain into lower limb using cone beam computed tomography guidance (procedure)	#HLT																										
KLOLBB	Cone beam CT Guid Bx lower extremity B	717998003	Biopsy of lower limb using cone beam computed tomography guidance (procedure)	#HLT																										
KLOLLB	Cone beam CT Guid Bx lower extremity Lt	717998003	Biopsy of lower limb using cone beam computed tomography guidance (procedure)	#HLT																										
KLOLRB	Cone beam CT Guid Bx lower extremity Rt	717998003	Biopsy of lower limb using cone beam computed tomography guidance (procedure)	#HLT																										
KLOLRN	Cone beam CT Guid Asp lower extremity Rt	717348008	Aspiration of lower limb using cone beam computed tomography guidance (procedure)	#HLT																										
KLWLB	Cone beam CT lower limb Both	718001001	Cone beam computed tomography of lower limb (procedure)	U36.5	Cone beam computed tomography NEC							Y98.2	Radiology of two body areas					Z90.9	Leg region NEC											
KLWLL	Cone beam CT lower limb Left	718001001	Cone beam computed tomography of lower limb (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.9	Leg region NEC											
KLWLR	Cone beam CT lower limb Right	718001001	Cone beam computed tomography of lower limb (procedure)	U36.5	Cone beam computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.9	Leg region NEC											
